Iid1,Iid2,f
3IIH6,B93,0.275283991690277
3IIH6,B96,0.19817394388073
3IIH6,BSSS,0.274423722958272
3IIH6,C103,0.255836497291077
3IIH6,C49,0.295344639452514
3IIH6,CG102,0.265683055497475
3IIH6,CG110,0.288361525270975
3IIH6,CG120,0.332215769439426
3IIH6,CG123,0.337888300970162
3IIH6,CG124,0.291278004093093
3IIH6,CG65,0.367584330039247
3IIH6,CGR01,0.397234158277991
3IIH6,CI18722,0.338529332677308
3IIH6,CI540,0.250771691030968
3IIH6,CM105,0.267847899702598
3IIH6,CM37,0.233547285975285
3IIH6,CM7,0.232980061491211
3IIH6,CMV3,0.258896339655052
3IIH6,CO255,0.208543226863279
3IIH6,EP1,0.183251237330266
3IIH6,F115,0.260621151319881
3IIH6,F72,0.197044950580482
3IIH6,FE,0.28882971999274
3IIH6,H93,0.276314006100238
3IIH6,H99,0.272325625224676
3IIH6,I159,0.313157880568746
3IIH6,I205,0.445193591192354
3IIH6,Ill.Hy,0.303033056199414
3IIH6,L317,0.264721550013149
3IIH6,LH1,0.388729479000841
3IIH6,LH123HT,0.38769221128635
3IIH6,LH132,0.268937515679756
3IIH6,LH145,0.268215621703267
3IIH6,LH162,0.268750764482893
3IIH6,LH185,0.305057181732443
3IIH6,LH195,0.330817774389724
3IIH6,LH198,0.279575911189155
3IIH6,LH210,0.272308144266303
3IIH6,LH38,0.339985541961837
3IIH6,LH51,0.294065741514203
3IIH6,LH59,0.286837376637293
3IIH6,LH82,0.450936300441261
3IIH6,M14,0.286585279613577
3IIH6,MinnesotaNo13,0.252960980431798
3IIH6,Mo17,0.300909413103181
3IIH6,Mt42,0.256986339087453
3IIH6,ND246,0.274513538703684
3IIH6,Oh40B,0.24459699510389
3IIH6,Oh43,0.300703792189258
3IIH6,OS420,0.307531473322595
3IIH6,Os426,0.292264780611481
3IIH6,PH207,0.656446325715737
3IIH6,PHB09,0.266143097858675
3IIH6,PHB47,0.278307837581221
3IIH6,PHG29,0.710100876863661
3IIH6,PHG35,0.418223472445033
3IIH6,PHG39,0.278830464892281
3IIH6,PHG47,0.570222076672663
3IIH6,PHG50,0.210785837751367
